id,anime_id,title,type,producer,studio,genre,images
0,11013,Inu x Boku SS,TV,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",David Production,"Comedy, Supernatural, Romance, Shounen","{'https://cdn.myanimelist.net/images/anime/11/42059l.jpg', 'https://cdn.myanimelist.net/images/anime/12/39165l.jpg', 'https://cdn.myanimelist.net/images/anime/6/42061l.jpg', 'https://cdn.myanimelist.net/images/anime/3/36353l.jpg', 'https://cdn.myanimelist.net/images/anime/8/39167l.jpg', 'https://cdn.myanimelist.net/images/anime/12/35893l.jpg', 'https://cdn.myanimelist.net/images/anime/10/34607l.jpg', 'https://cdn.myanimelist.net/images/anime/11/40369l.jpg', 'https://cdn.myanimelist.net/images/anime/7/39581l.jpg'}"
1,2104,Seto no Hanayome,TV,"TV Tokyo, AIC, Square Enix, Sotsu",Gonzo,"Comedy, Parody, Romance, School, Shounen","{'https://cdn.myanimelist.net/images/anime/10/7100l.jpg', 'https://cdn.myanimelist.net/images/anime/10/7101l.jpg', 'https://cdn.myanimelist.net/images/anime/2/32177l.jpg', 'https://cdn.myanimelist.net/images/anime/13/86889l.jpg', 'https://cdn.myanimelist.net/images/anime/13/3612l.jpg', 'https://cdn.myanimelist.net/images/anime/13/58383l.jpg', 'https://cdn.myanimelist.net/images/anime/6/32179l.jpg', 'https://cdn.myanimelist.net/images/anime/10/32175l.jpg', 'https://cdn.myanimelist.net/images/anime/1/2195l.jpg'}"
2,5262,Shugo Chara!! Doki,TV,"TV Tokyo, Sotsu",Satelight,"Comedy, Magic, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/4/17457l.jpg', 'https://cdn.myanimelist.net/images/anime/2/16309l.jpg', 'https://cdn.myanimelist.net/images/anime/12/15801l.jpg', 'https://cdn.myanimelist.net/images/anime/11/23412l.jpg', 'https://cdn.myanimelist.net/images/anime/8/10550l.jpg', 'https://cdn.myanimelist.net/images/anime/11/23414l.jpg', 'https://cdn.myanimelist.net/images/anime/4/23413l.jpg', 'https://cdn.myanimelist.net/images/anime/4/15800l.jpg', 'https://cdn.myanimelist.net/images/anime/11/10645l.jpg'}"
3,721,Princess Tutu,TV,"Memory-Tech, GANSIS, Marvelous AQL",Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy","{'https://cdn.myanimelist.net/images/anime/13/6174l.jpg', 'https://cdn.myanimelist.net/images/anime/1925/92882l.jpg', 'https://cdn.myanimelist.net/images/anime/1145/93646l.jpg', 'https://cdn.myanimelist.net/images/anime/10/5427l.jpg', 'https://cdn.myanimelist.net/images/anime/3/32203l.jpg', 'https://cdn.myanimelist.net/images/anime/11/21006l.jpg', 'https://cdn.myanimelist.net/images/anime/2/52213l.jpg', 'https://cdn.myanimelist.net/images/anime/13/32209l.jpg', 'https://cdn.myanimelist.net/images/anime/3/32205l.jpg'}"
4,12365,Bakuman. 3rd Season,TV,"NHK, Shueisha",J.C.Staff,"Comedy, Drama, Romance, Shounen","{'https://cdn.myanimelist.net/images/anime/6/41845l.jpg', 'https://cdn.myanimelist.net/images/anime/10/43309l.jpg', 'https://cdn.myanimelist.net/images/anime/12/42363l.jpg', 'https://cdn.myanimelist.net/images/anime/11/42667l.jpg'}"
5,6586,Yume-iro Pâtissière,TV,"Yomiuri Telecasting, DAX Production, Shueisha","Studio Pierrot, Studio Hibari","Kids, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/4/78737l.jpg', 'https://cdn.myanimelist.net/images/anime/12/21674l.jpg'}"
6,178,Ultra Maniac,TV,"WAO World, Studio Jack",Production Reed,"Magic, Comedy, Romance, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/12/2967l.jpg', 'https://cdn.myanimelist.net/images/anime/8/53571l.jpg', 'https://cdn.myanimelist.net/images/anime/2/7478l.jpg', 'https://cdn.myanimelist.net/images/anime/11/20203l.jpg', 'https://cdn.myanimelist.net/images/anime/7/72674l.jpg', 'https://cdn.myanimelist.net/images/anime/6/20202l.jpg'}"
7,2787,Shakugan no Shana II (Second),TV,"Geneon Universal Entertainment, ASCII Media Works",J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural","{'https://cdn.myanimelist.net/images/anime/6/8227l.jpg', 'https://cdn.myanimelist.net/images/anime/10/18669l.jpg', 'https://cdn.myanimelist.net/images/anime/7/10245l.jpg', 'https://cdn.myanimelist.net/images/anime/9/22083l.jpg', 'https://cdn.myanimelist.net/images/anime/9/10469l.jpg', 'https://cdn.myanimelist.net/images/anime/9/21239l.jpg', 'https://cdn.myanimelist.net/images/anime/10/15714l.jpg', 'https://cdn.myanimelist.net/images/anime/5/23262l.jpg'}"
8,4477,Nodame Cantabile: Paris-hen,TV,"Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei","{'https://cdn.myanimelist.net/images/anime/1710/109041l.jpg', 'https://cdn.myanimelist.net/images/anime/7/9944l.jpg', 'https://cdn.myanimelist.net/images/anime/4/11918l.jpg'}"
9,853,Ouran Koukou Host Club,TV,"VAP, Hakusensha, Nippon Television Network",Bones,"Comedy, Harem, Romance, School, Shoujo","{'https://cdn.myanimelist.net/images/anime/1004/92393l.jpg', 'https://cdn.myanimelist.net/images/anime/7/14124l.jpg', 'https://cdn.myanimelist.net/images/anime/2/71992l.jpg', 'https://cdn.myanimelist.net/images/anime/2/48425l.jpg', 'https://cdn.myanimelist.net/images/anime/5/9052l.jpg', 'https://cdn.myanimelist.net/images/anime/3/2030l.jpg'}"
