animeid,title,genres
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space"
5,Cowboy Bebop: Tengoku no Tobira,"Action, Space, Drama, Mystery, Sci-Fi"
6,Trigun,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
7,Witch Hunter Robin,"Action, Magic, Police, Supernatural, Drama, Mystery"
8,Beet the Vandel Buster,"Adventure, Fantasy, Shounen, Supernatural"
15,Eyeshield 21,"Action, Sports, Comedy, Shounen"
16,Hachimitsu to Clover,"Comedy, Drama, Josei, Romance, Slice of Life"
17,Hungry Heart: Wild Striker,"Slice of Life, Comedy, Sports, Shounen"
18,Initial D Fourth Stage,"Action, Cars, Sports, Drama, Seinen"
19,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
20,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
21,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
22,Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen"
23,Ring ni Kakero 1,"Action, Shounen, Sports"
24,School Rumble,"Comedy, Romance, School, Shounen"
25,Sunabouzu,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen"
26,Texhnolyze,"Action, Sci-Fi, Psychological, Drama"
27,Trinity Blood,"Action, Supernatural, Vampire"
28,Yakitate!! Japan,"Comedy, Shounen"
29,Zipang,"Action, Military, Sci-Fi, Historical, Drama, Seinen"
30,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha"
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi"
32,Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha"
33,Kenpuu Denki Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
43,Ghost in the Shell,"Action, Sci-Fi, Police, Psychological, Mecha, Seinen"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Historical, Drama, Romance, Martial Arts, Samurai"
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Historical, Romance, Samurai"
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,"Samurai, Historical, Drama, Shounen"
47,Akira,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural"
48,.hack//Sign,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy"
49,Aa! Megami-sama!,"Comedy, Magic, Romance, Seinen, Supernatural"
50,Aa! Megami-sama! (TV),"Comedy, Supernatural, Magic, Romance, Seinen"
51,Tenshi Kinryouku,"Action, Drama, Romance, Shoujo, Supernatural"
52,Kidou Tenshi Angelic Layer,"Sci-Fi, Comedy, Sports, Drama, Shounen"
53,Ai Yori Aoshi,"Comedy, Drama, Harem, Romance, Slice of Life"
54,Appleseed (Movie),"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen"
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi"
56,Avenger,"Adventure, Fantasy, Sci-Fi, Shounen"
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life"
58,Blue Gender,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama"
59,Chobits,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
60,Chrno Crusade,"Action, Historical, Demons, Supernatural, Romance"
61,D.N.Angel,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo"
62,D.C.: Da Capo,"Harem, Drama, Magic, Romance"
63,DearS,"Sci-Fi, Harem, Comedy, Romance, Ecchi"
64,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen"
65,Rozen Maiden: Träumend,"Action, Comedy, Drama, Magic, Seinen"
66,Azumanga Daioh,"Slice of Life, Comedy, School"
67,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy"
68,Black Cat,"Adventure, Comedy, Sci-Fi, Shounen, Super Power"
69,Cluster Edge,"Action, Fantasy, Military, Sci-Fi"
71,Full Metal Panic!,"Action, Military, Sci-Fi, Comedy, Mecha"
72,Full Metal Panic? Fumoffu,"Action, Comedy, School"
73,Full Metal Panic! The Second Raid,"Action, Military, Mecha"
74,Gakuen Alice,"Comedy, School, Shoujo, Super Power"
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi"
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power"
77,Mahou Shoujo Lyrical Nanoha A&#039;s,"Action, Comedy, Drama, Magic, Super Power"
79,Shuffle!,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen"
80,Mobile Suit Gundam,"Action, Space, Mecha, Military, Sci-Fi"
81,Mobile Suit Gundam: The 08th MS Team,"Military, Sci-Fi, Adventure, Drama, Romance, Mecha"
82,Mobile Suit Gundam 0080: War in the Pocket,"Military, Sci-Fi, Space, Drama, Mecha"
83,Mobile Suit Gundam: The 08th MS Team - Miller&#039;s Report,"Military, Sci-Fi, Drama, Romance, Mecha"
84,Mobile Suit Gundam 0083: Stardust Memory,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha"
85,Mobile Suit Zeta Gundam,"Military, Sci-Fi, Space, Drama, Romance, Mecha"
86,Mobile Suit Gundam ZZ,"Space, Comedy, Mecha, Military, Drama, Sci-Fi"
